# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
6437334333,0.000594,-0.000498,0.000130,-0.447254,0.012571,9.747225
6447334333,0.000744,-0.000579,-0.000021,-0.440323,0.009259,9.838908
6457334333,0.000865,-0.000709,-0.000138,-0.430886,0.001638,9.859183
6467334333,0.000913,-0.000767,-0.000153,-0.463398,0.019620,9.846718
6477334333,0.000916,-0.000723,-0.000273,-0.433707,0.019141,9.946012
6487334333,0.000941,-0.000748,-0.000413,-0.431074,0.040159,10.010131
6497334333,0.000933,-0.000687,-0.000496,-0.434101,0.014571,10.069664
6507334333,0.000814,-0.000666,-0.000537,-0.423229,0.022784,10.113553
6517334333,0.000667,-0.000577,-0.000656,-0.461060,0.038692,10.195650
6527334333,0.000552,-0.000374,-0.000732,-0.397698,0.008888,10.259062
6537334333,0.000407,-0.000261,-0.000797,-0.427718,0.015518,10.229751
6547334333,0.000185,-0.000125,-0.000823,-0.407848,0.038235,10.175284
6557334333,0.000087,0.000022,-0.000844,-0.449829,0.067389,10.082700
6567334333,-0.000075,0.000045,-0.000837,-0.472364,0.039172,9.979806
6577334333,-0.000202,0.000246,-0.000750,-0.411486,0.061551,9.919407
6587334333,-0.000238,0.000230,-0.000678,-0.482053,0.117959,9.824344
6597334333,-0.000337,0.000241,-0.000549,-0.431079,0.105216,9.737229
6607334333,-0.000382,0.000284,-0.000372,-0.427174,0.095271,9.635682
6617334333,-0.000316,0.000343,-0.000223,-0.420014,0.031620,9.588514
6627334333,-0.000358,0.000286,0.000022,-0.452849,0.077025,9.451902
6637334333,-0.000349,0.000285,0.000250,-0.409270,-0.004918,9.367152
6647334333,-0.000353,0.000242,0.000531,-0.438279,-0.040114,9.421777
6657334333,-0.000249,0.000194,0.000660,-0.437407,-0.006241,9.482216
6667334333,-0.000300,0.000185,0.000953,-0.465271,-0.031463,9.494079
6677334333,-0.000219,0.000107,0.000988,-0.446545,-0.051129,9.534878
6687334333,-0.000068,0.000051,0.001142,-0.394407,-0.065674,9.599254
6697334333,-0.000044,-0.000001,0.001211,-0.500224,-0.062194,9.652598
6707334333,0.000006,-0.000089,0.001256,-0.483950,-0.054316,9.686004
6717334333,0.000120,-0.000173,0.001304,-0.458291,-0.012205,9.726406
6727334333,0.000239,-0.000177,0.001231,-0.482532,-0.002901,9.800538
6737334333,0.000280,-0.000286,0.001203,-0.490026,0.003407,9.800979
6747334333,0.000423,-0.000460,0.001141,-0.503983,0.004732,9.853715
6757334333,0.000514,-0.000434,0.001041,-0.514547,0.046220,9.874836
6767334333,0.000559,-0.000481,0.000952,-0.429628,0.006102,9.902946
6777334333,0.000582,-0.000493,0.000839,-0.478088,0.037968,9.982715
6787334333,0.000565,-0.000469,0.000682,-0.469322,0.012152,10.010744
6797334333,0.000532,-0.000465,0.000603,-0.440540,0.033649,10.063255
6807334333,0.000562,-0.000391,0.000397,-0.441332,0.019642,10.057887
6817334333,0.000490,-0.000347,0.000313,-0.433373,0.054802,10.086343
